Field ,Plot #,Row,Range,Ear Height 1,Flaf Leaf 1,Total Height1,Bottom internode1 ,Upper internode1,Ear Height2 ,Flaf Leaf2 ,Total Height2,Bottom internode2 ,Upper internode2,Person 
HYB-Hips ,4249,25,11,2.8,7,8.7,17.8,4,4,7.2,8.5,15.8,5,LL/KL
HYB-Hips ,4248,24,11,2.8,7,8.1,19.48,5,3.2,7.3,8.9,21.29,7,LL/KL
HYB-Hips ,4247,23,11,2.8,7.2,8.7,22.01,6,2.9,7,8.8,25.31,6,LL/KL
HYB-Hips ,4246,22,11,2.6,6.8,8.7,23.74,4,2.7,7,8.5,21.01,5,LL/KL
HYB-Hips ,4245,21,11,2.7,7.1,8.6,20.71,5,3.3,7,8.6,22,5,LL/KL
HYB-Hips ,4244,20,11,3.3,7,8.7,19.52,5,3.5,7.4,9.4,21.01,7,LL/KL
HYB-Hips ,4243,19,11,2.6,6.8,8.3,22.81,6,3,6.8,8.5,19.2,7,LL/KL
HYB-Hips ,4242,18,11,2.7,7,8.7,21.12,6,2.7,7.1,8.6,22.27,6,LL/KL
HYB-Hips ,4241,17,11,3.5,6.9,8.1,19.85,5,2.6,7,8.6,26.8,7,LL/KL
HYB-Hips ,4240,16,11,3.2,7,8.7,19.7,5,3.3,7.4,8.9,21.72,5,LL/KL
HYB-Hips ,4239,15,11,2.6,6.8,8.5,25.15,4,2.6,6.9,8.4,23.33,7,LL/KL
