Person,QR Code,Ear #,Kernel Color,Ear Width,Kernel Fill Length,Kernel Row Number,Kernels per Row,Ear Weight,Kernel Count,Cob Width,Cob Length,Cob Weight,100 Kernel weight,Total Moisture
IS,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1014$Row6$Range33$B73 x PHZ51,1,Yellow,4.5,16.5,16,39,179.6,581,3,17.5,24.65,25.14,5.07
IS,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1014$Row6$Range33$B73 x PHZ51,2,Yellow,4.5,16.5,16,40,184.08,557,3,18,25.66,28.1,
IS,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1014$Row6$Range33$B73 x PHZ51,3,Yellow,4.5,18.5,14,44,208.57,591,3,19,30.35,27.1,
IS,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1014$Row6$Range33$B73 x PHZ51,4,Yellow,4.5,17,18,42,224.5,709,3.5,18.5,30.24,24.77,
IS,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1023$Row15$Range33$PHK56 x LH198,1,Yellow,4.5,14,16,33,176.83,502,3,14.5,21.32,31.58,4.91
IS,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1023$Row15$Range33$PHK56 x LH198,2,Yellow,4.5,13.5,18,29,146.06,435,3,13.5,19.77,28.04,
IS,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1023$Row15$Range33$PHK56 x LH198,3,Yellow,4.5,15.5,16,34,213.34,580,3,16.5,26.98,31.31,
IS,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1023$Row15$Range33$PHK56 x LH198,4,Yellow,4.5,15.5,16,39,214.75,585,3,15.5,25.97,30.78,
IS,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot944$Row16$Range28$PHG39 x PHM49,1,Orange,4.5,15,16,29,151.12,445,3,16,18.7,29.51,3.9
IS,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot944$Row16$Range28$PHG39 x PHM49,2,Orange,4.5,18,16,36,194.22,542,3,21,23.78,30.3,
IS,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot944$Row16$Range28$PHG39 x PHM49,3,Orange,4.5,15,16,32,171.54,479,2.5,18,21.31,30.37,
IS,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot944$Row16$Range28$PHG39 x PHM49,4,Orange,4.5,15.5,16,35,179.14,533,3,17.5,20.21,31.8,
